ProductCategory,CustomerCountry,CustomerContinent,Profit
Movies,Seychelles,Africa,1696.94
Health,Qatar,Asia,246.6
Sports,Cameroon,Africa,455.7
Beauty,Guadeloupe,North America,271.44
Health,Swaziland,Africa,1846.8
Health,Costa Rica,North America,744.8
Health,Kuwait,Asia,971.8
Music,Kazakhstan,Asia,134.9
Toys,Andorra,Europe,285.76
Baby,Tunisia,Africa,549
Music,Hungary,Europe,1195.2
Music,Luxembourg,Europe,1209.46
Electronics,Djibouti,Africa,1619.15
Shoes,Guinea,Africa,85.86
Music,Gambia,Africa,2555.16
Industrial,Jordan,Asia,454.72
Tools,Western Sahara,Africa,2484.28
Health,"Bonaire, Saint Eustatius and Saba ",North America,5527.62
Sports,United States Minor Outlying Islands,Oceania,1385.1
Books,Solomon Islands,Oceania,1386.5
Industrial,Czech Republic,Europe,8821.88
Health,Japan,Asia,1409.1
Movies,Peru,South America,2194.5
Kids,Palau,Oceania,38.04
Industrial,Curacao,North America,7.76
Music,Gibraltar,Europe,6123.6
Grocery,Poland,Europe,106.2
Tools,Maldives,Asia,928.98
Sports,Papua New Guinea,Oceania,2221.4
Computers,United States Minor Outlying Islands,Oceania,7198.34
Garden,Ukraine,Europe,2081.16
Kids,Sweden,Europe,76.05
Grocery,Kyrgyzstan,Asia,3207.2
Movies,Croatia,Europe,5311.85
Industrial,Palestinian Territory,Asia,328.51
Movies,Greenland,North America,499.2
Tools,Guadeloupe,North America,9242.88
Computers,Bermuda,North America,1070.6
Kids,Syria,Asia,423.9
Outdoors,Rwanda,Africa,3714.88
Clothing,Israel,Asia,235.56
Toys,Grenada,North America,3360.34
Kids,Russia,Europe,1037.09
Garden,Syria,Asia,2706.27
Jewelery,Paraguay,South America,271.35
Beauty,Andorra,Europe,454.68
Automotive,Democratic Republic of the Congo,Africa,5221.26
Kids,Saint Kitts and Nevis,North America,1480.58
Kids,Chad,Africa,23.37
Tools,Central African Republic,Africa,577.28
Toys,Haiti,North America,174.66
Games,Niue,Oceania,4055.04
Computers,Uganda,Africa,2394
Kids,Germany,Europe,2.14
Clothing,Monaco,Europe,3634.08
Baby,Madagascar,Africa,580.5
Clothing,Venezuela,South America,3118.83
Electronics,Finland,Europe,542.5
Books,Libya,Africa,850.72
Automotive,Jamaica,North America,794.84
Home,South Korea,Asia,3835.2
Toys,Mauritius,Africa,5962.32
Health,Yemen,Asia,2878.11
Baby,Isle of Man,Europe,5117.85
Computers,Heard Island and McDonald Islands,Antarctica,2112
Electronics,Antigua and Barbuda,North America,3769.96
Sports,Montserrat,North America,1969.3
Electronics,Brazil,South America,78.26
Health,Japan,Asia,4747.77
Outdoors,Burkina Faso,Africa,1217.6
Books,Afghanistan,Asia,6911.6
Movies,Hungary,Europe,2796.57
Health,Svalbard and Jan Mayen,Europe,167.68
Music,Cyprus,Europe,1981
Grocery,Bahrain,Asia,8277.5
Electronics,Falkland Islands,South America,179.19
Music,Slovenia,Europe,4628.68
Books,Burundi,Africa,402.05
Books,Austria,Europe,2544.92
Clothing,French Polynesia,Oceania,3616.74
Tools,New Zealand,Oceania,2915.08
Sports,Anguilla,North America,373.95
